case,case_label,fraction,scenario,cost,risk_months
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,19,1393146343.7502058,37.164905908039145
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,0,1323424435.5399916,34.47483596806827
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,1,1323424435.5399916,36.48662040770822
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,2,1323424435.5399916,35.926065742542264
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,3,1323424435.5399916,32.23203554488044
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,4,1323424435.5399916,37.18567978925347
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,5,1323424435.5399916,35.18612574201485
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,6,1323474435.5399916,36.7105662811561
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,7,1323424435.5399916,33.8009740335833
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,8,1323494435.5399916,32.9735060474937
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,9,1323424435.5399916,31.601934122276038
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,10,1323424435.5399916,35.83864560700057
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,11,1323424435.5399916,34.07190219155719
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,12,1323424435.5399916,29.47811671881765
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,13,1323424435.5399916,34.25171851708853
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,14,1323424435.5399916,33.542260820938736
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,15,1323424435.5399916,36.91500268730164
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,16,1323424435.5399916,34.4749589233932
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,17,1323424435.5399916,37.1298666248537
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,18,1323424435.5399916,32.859585627744224
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,19,1323424435.5399916,35.32733149659523
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,0,1252003067.6691818,31.79151903622127
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,1,1252003067.6691818,34.66535655406969
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,2,1252003067.6691818,33.27127501789206
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,3,1252003067.6691818,29.49557655804609
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,4,1252003067.6691818,35.660952130129516
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,5,1252003067.6691818,32.733755889538486
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,6,1252123067.6691818,35.02568795959432
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,7,1252003067.6691818,30.863663099435705
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,8,1252123067.6691818,28.84494694903241
