case,case_label,fraction,scenario,cost,risk_months
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,8,1130412627.8220787,25.383302023584555
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,9,1130122627.8220787,21.38162296509305
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,10,1130072627.8220787,31.116951622293428
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,11,1130152627.8220787,29.532537623306148
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,12,1130132627.8220787,23.65946925238172
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,13,1130072627.8220787,27.774531601382066
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,14,1130112627.8220787,28.083516819631882
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,15,1130072627.8220787,34.87699899607533
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,16,1130072627.8220787,27.71946200556192
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,17,1130072627.8220787,33.990764407278355
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,18,1130092627.8220787,25.07813029217722
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,19,1130102627.8220787,29.48595052681854
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,0,1077865723.8387284,22.78363202408466
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,1,1077705723.8387284,31.068314084455505
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,2,1077685723.8387284,25.217873993438474
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,3,1078005723.8387284,22.926480655286085
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,4,1077675723.8387284,30.11516076179298
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,5,1077705723.8387284,25.607548701911362
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,6,1077905723.8387284,24.428671571458132
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,7,1077845723.8387284,23.896847647701968
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,8,1078145723.8387284,21.14453857158239
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,9,1077925723.8387284,16.764524157454343
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,10,1077695723.8387284,27.182395945031576
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,11,1077875723.8387284,25.780072947990266
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,12,1077945723.8387284,20.295159841423384
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,13,1077825723.8387284,23.967956791075906
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,14,1077905723.8387284,24.225593251565144
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,15,1077695723.8387284,31.351138623420574
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,16,1077715723.8387284,22.56110384406112
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,17,1077675723.8387284,28.285299541960278
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,18,1077925723.8387284,20.0326107683127
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,19,1077825723.8387284,24.726155275122167
